disease,symptoms
Dehydration,"Dry mouth and tongue, No tears when crying, No wet diapers for three hours, Sunken eyes, cheeks, Sunken soft spot on top of skull, Listlessness or irritability"
Delayed ejaculation,"Lifelong vs. acquired. With lifelong delayed ejaculation, the problem is present from the time of sexual maturity. Acquired delayed ejaculation occurs after a period of normal sexual functioning., Generalized vs. situational. Generalized delayed ejaculation isn't limited to certain sex partners or certain kinds of stimulation. Situational delayed ejaculation occurs only under certain circumstances."
"Delayed gastric emptying, also known asGastroparesis","Vomiting, Nausea, Abdominal bloating, Abdominal pain, A feeling of fullness after eating just a few bites, Vomiting undigested food eaten a few hours earlier, Acid reflux, Changes in blood sugar levels, Lack of appetite, Weight loss and malnutrition"
Delirium,"Trouble focusing on a topic or changing topics, Getting stuck on an idea rather than responding to questions, Being easily distracted, Being withdrawn, with little or no activity or little response to surroundings"
Dementia,"Memory loss, which is usually noticed by someone else, Difficulty communicating or finding words, Difficulty with visual and spatial abilities, such as getting lost while driving, Difficulty reasoning or problem-solving, Difficulty handling complex tasks, Difficulty with planning and organizing, Difficulty with coordination and motor functions, Confusion and disorientation"
"Dementia, frontotemporal, also known asFrontotemporal dementia","Increasingly inappropriate social behavior, Loss of empathy and other interpersonal skills, such as having sensitivity to another's feelings, Lack of judgment, Loss of inhibition, Lack of interest (apathy), which can be mistaken for depression, Repetitive compulsive behavior, such as tapping, clapping or smacking lips, A decline in personal hygiene, Changes in eating habits, usually overeating or developing a preference for sweets and carbohydrates, Eating inedible objects, Compulsively wanting to put things in the mouth"
"Dementia, Lewy body, also known asLewy body dementia","Visual hallucinations. Hallucinations — seeing things that aren't there — might be one of the first symptoms, and they often recur. People with Lewy body dementia might hallucinate shapes, animals or people. Sound (auditory), smell (olfactory) or touch (tactile) hallucinations are possible., Movement disorders. Signs of Parkinson's disease (parkinsonian signs), such as slowed movement, rigid muscles, tremor or a shuffling walk can occur. This can lead to falling., Poor regulation of body functions (autonomic nervous system). Blood pressure, pulse, sweating and the digestive process are regulated by a part of the nervous system that is often affected by Lewy body dementia. This can result in sudden drops in blood pressure upon standing (orthostatic hypotension), dizziness, falls, loss of bladder control (urinary incontinence) and bowel issues such as constipation., Cognitive problems. You might have thinking (cognitive) problems similar to those of Alzheimer's disease, such as confusion, poor attention, visual-spatial problems and memory loss., Sleep difficulties. You might have rapid eye movement (REM) sleep behavior disorder, which can cause you to physically act out your dreams while you're asleep. This might involve behavior such as punching, kicking, yelling and screaming while sleeping., Fluctuating attention. Episodes of drowsiness, long periods of staring into space, long naps during the day or disorganized speech are possible., Depression. You might develop depression., Apathy. You might lose motivation."
"Dementia, vascular, also known asVascular dementia","Confusion, Trouble paying attention and concentrating, Reduced ability to organize thoughts or actions, Decline in ability to analyze a situation, develop an effective plan and communicate that plan to others, Slowed thinking, Difficulty with organization, Difficulty deciding what to do next, Problems with memory, Restlessness and agitation, Unsteady gait, Sudden or frequent urge to urinate or inability to control passing urine, Depression or apathy"
Dengue fever,"Headache, Muscle, bone or joint pain, Nausea, Vomiting, Pain behind the eyes, Swollen glands, Rash"
"Dengue hemorrhagic fever, also known asDengue fever","Headache, Muscle, bone or joint pain, Nausea, Vomiting, Pain behind the eyes, Swollen glands, Rash"
"Dependence, nicotine, also known asNicotine dependence","You can't stop smoking. You've made one or more serious, but unsuccessful, attempts to stop., You have withdrawal symptoms when you try to stop. Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea., You keep smoking despite health problems. Even though you've developed health problems with your lungs or your heart, you haven't been able to stop., You give up social activities. You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations."
Depersonalization-derealization disorder,"Feelings that you're an outside observer of your thoughts, feelings, your body or parts of your body — for example, as if you were floating in air above yourself, Feeling like a robot or that you're not in control of your speech or movements, The sense that your body, legs or arms appear distorted, enlarged or shrunken, or that your head is wrapped in cotton, Emotional or physical numbness of your senses or responses to the world around you, A sense that your memories lack emotion, and that they may or may not be your own memories"
Depression (major depressive disorder),"Feelings of sadness, tearfulness, emptiness or hopelessness, Angry outbursts, irritability or frustration, even over small matters, Loss of interest or pleasure in most or all normal activities, such as sex, hobbies or sports, Sleep disturbances, including insomnia or sleeping too much, Tiredness and lack of energy, so even small tasks take extra effort, Reduced appetite and weight loss or increased cravings for food and weight gain, Anxiety, agitation or restlessness, Slowed thinking, speaking or body movements, Feelings of worthlessness or guilt, fixating on past failures or self-blame, Trouble thinking, concentrating, making decisions and remembering things, Frequent or recurrent thoughts of death, suicidal thoughts, suicide attempts or suicide, Unexplained physical problems, such as back pain or headaches"
"Depression, postpartum, also known asPostpartum depression","Mood swings, Anxiety, Sadness, Irritability, Feeling overwhelmed, Crying, Reduced concentration, Appetite problems, Trouble sleeping"
"Depression, teen, also known asTeen depression","Feelings of sadness, which can include crying spells for no apparent reason, Frustration or feelings of anger, even over small matters, Feeling hopeless or empty, Irritable or annoyed mood, Loss of interest or pleasure in usual activities, Loss of interest in, or conflict with, family and friends, Low self-esteem, Feelings of worthlessness or guilt, Fixation on past failures or exaggerated self-blame or self-criticism, Extreme sensitivity to rejection or failure, and the need for excessive reassurance, Trouble thinking, concentrating, making decisions and remembering things, Ongoing sense that life and the future are grim and bleak, Frequent thoughts of death, dying or suicide"
Dermatitis,"Itchiness (pruritus), Dry skin, Rash on swollen skin that varies in color depending on your skin color, Blisters, perhaps with oozing and crusting, Flaking skin (dandruff), Thickened skin, Bumps in hair follicles"
"Dermatitis, atopic, also known asAtopic dermatitis (eczema)","Dry, cracked skin, Itchiness (pruritus), Rash on swollen skin that varies in color depending on your skin color, Small, raised bumps, on brown or Black skin, Oozing and crusting, Thickened skin, Darkening of the skin around the eyes, Raw, sensitive skin from scratching"
"Dermatitis, cercarial, also known asSwimmer's itch","Spending time in water that's infested with certain parasites., Forgetting to dry off with a towel after getting out of the water., Being sensitive to the parasites that cause swimmer's itch."
"Dermatitis, contact, also known asContact dermatitis","An itchy rash, Leathery patches that are darker than usual (hyperpigmented), typically on brown or Black skin, Dry, cracked, scaly skin, typically on white skin, Bumps and blisters, sometimes with oozing and crusting, Swelling, burning or tenderness"
"Dermatitis, scratch, also known asNeurodermatitis","An itchy, scaly skin patch or patches, Open sores that bleed, Thick, leathery skin, Discolored, wrinkled genital skin, Raised, rough patches that are inflamed or darker than the rest of the skin"
"Dermatitis, seborrheic, also known asSeborrheic dermatitis","Flaking skin (dandruff) on your scalp, hair, eyebrows, beard or mustache, Patches of greasy skin covered with flaky white or yellow scales or crust on the scalp, face, sides of the nose, eyebrows, ears, eyelids, chest, armpits, groin area or under the breasts, Rash that may look darker or lighter in people with brown or Black skin and redder in those with white skin, Ring-shaped (annular) rash, for a type called petaloid seborrheic dermatitis, Itchiness (pruritus)"
Dermatographia (Dermatographism),"Raised, inflamed lines where you scratched., Welts from friction., Swelling., Itching."
"Dermatographism, also known asDermatographia (Dermatographism)","Raised, inflamed lines where you scratched., Welts from friction., Swelling., Itching."
Dermatomyositis,"Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on your knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis., Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen."
"Dermatophytosis, also known asAthlete's foot","Scaly, peeling or cracked skin between the toes, Itchiness, especially right after taking off shoes and socks, Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color, Burning or stinging, Blisters, Dry, scaly skin on the bottom of the foot that extends up the side"
Desmoid tumors,"A mass or area of swelling, Pain, Loss of function in the affected area, Cramping and nausea, when desmoid tumors occur in the abdomen"
Desmoplastic small round cell tumors,"Swelling of the abdomen, Abdominal pain, Constipation, Difficulty urinating"
"Detached retina, also known asRetinal detachment","The sudden appearance of many floaters — tiny specks that seem to drift through your field of vision, Flashes of light in one or both eyes (photopsia), Blurred vision, Gradually reduced side (peripheral) vision, A curtain-like shadow over your field of vision"
"Developmental dysplasia of the hip, also known asHip dysplasia","First pregnancy, Large baby, Breech presentation"
Deviated septum,"Obstruction of one or both nostrils. This blockage can make it difficult to breathe through the nostril or nostrils. You may notice this more when you have a cold or allergies that can cause your nasal passages to swell and narrow., Nosebleeds. The surface of your nasal septum may become dry, increasing your risk of nosebleeds., Facial pain. There is some debate about the possible nasal causes of facial pain. A possible cause of one-sided facial pain could be a severe deviated septum in which surfaces within the nose touch and cause pressure., Noisy breathing during sleep. A deviated septum or swelling of the tissues in your nose can be one of the many reasons for noisy breathing during sleep., Awareness of the nasal cycle. The nose alternates between being obstructed on one side and then changes to being obstructed on the other. This is called the nasal cycle. Being aware of the nasal cycle isn't typical and can indicate nasal obstruction., Preference for sleeping on a particular side. Some people may prefer to sleep on a particular side to optimize breathing through the nose at night if one nasal passage is narrowed."
Diabetes,"Feeling more thirsty than usual., Urinating often., Losing weight without trying., Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin., Feeling tired and weak., Feeling irritable or having other mood changes., Having blurry vision., Having slow-healing sores., Getting a lot of infections, such as gum, skin and vaginal infections."
Diabetes insipidus,"Being very thirsty, often with a preference for cold water., Making large amounts of pale urine., Getting up to urinate and drink water often during the night."
"Diabetes mellitus, also known asDiabetes","Feeling more thirsty than usual., Urinating often., Losing weight without trying., Presence of ketones in the urine. Ketones are a byproduct of the breakdown of muscle and fat that happens when there's not enough available insulin., Feeling tired and weak., Feeling irritable or having other mood changes., Having blurry vision., Having slow-healing sores., Getting a lot of infections, such as gum, skin and vaginal infections."
"Diabetes, gestational, also known asGestational diabetes","Being overweight or obese, Not being physically active, Having prediabetes, Having had gestational diabetes during a previous pregnancy, Having polycystic ovary syndrome, Having an immediate family member with diabetes, Having previously delivered a baby weighing more than 9 pounds (4.1 kilograms), Being of a certain race or ethnicity, such as Black, Hispanic, American Indian and Asian American"
"Diabetes, type 1, also known asType 1 diabetes","Feeling more thirsty than usual, Urinating a lot, Bed-wetting in children who have never wet the bed during the night, Feeling very hungry, Losing weight without trying, Feeling irritable or having other mood changes, Feeling tired and weak, Having blurry vision"
"Diabetes, type 1 in children, also known asType 1 diabetes in children","Increased thirst, Frequent urination, possibly bed-wetting in a toilet-trained child, Extreme hunger, Unintentional weight loss, Fatigue, Irritability or behavior changes, Fruity-smelling breath"
"Diabetes, type 2, also known asType 2 diabetes","Increased thirst., Frequent urination., Increased hunger., Unintended weight loss., Fatigue., Blurred vision., Slow-healing sores., Frequent infections., Numbness or tingling in the hands or feet., Areas of darkened skin, usually in the armpits and neck."
"Diabetes, type 2 in children, also known asType 2 diabetes in children","Increased thirst, Frequent urination, Increased hunger, Fatigue, Blurry vision, Darkened areas of skin, most often around the neck or in the armpits and groin, Unintended weight loss, although this is less common in children with type 2 diabetes than in children with type 1 diabetes, Frequent infections"
Diabetic coma,"Increased thirst, Frequent urination, Blurred vision, Tiredness or weakness, Headache, Nausea and vomiting, Shortness of breath, Stomach pain, Fruity breath odor, A very dry mouth"
Diabetic hypoglycemia,"Looking pale (pallor), Shakiness, Dizziness or lightheadedness, Sweating, Hunger or nausea, An irregular or fast heartbeat, Difficulty concentrating, Feeling weak and having no energy (fatigue), Irritability or anxiety, Headache, Tingling or numbness of the lips, tongue or cheek"
Diabetic ketoacidosis,"Being very thirsty, Urinating often, Feeling a need to throw up and throwing up, Having stomach pain, Being weak or tired, Being short of breath, Having fruity-scented breath, Being confused"
Diabetic nephropathy (kidney disease),"Worsening blood pressure control, Protein in the urine, Swelling of feet, ankles, hands or eyes, Increased need to urinate, Reduced need for insulin or diabetes medicine, Confusion or difficulty concentrating, Shortness of breath, Loss of appetite, Nausea and vomiting, Persistent itching, Fatigue"
Diabetic neuropathy,"Numbness or reduced ability to feel pain or temperature changes, Tingling or burning feeling, Sharp pains or cramps, Muscle weakness, Extreme sensitivity to touch — for some people, even a bedsheet's weight can be painful, Serious foot problems, such as ulcers, infections, and bone and joint damage"
Diabetic retinopathy,"Spots or dark strings floating in your vision (floaters), Blurred vision, Fluctuating vision, Dark or empty areas in your vision, Vision loss"
Diaper rash,"Inflamed skin in the diaper area — buttocks, thighs and genitals, Itchy, tender skin in the diaper area, Sores in the diaper area, Discomfort, fussiness or crying, especially during diaper changes"
Diarrhea,"Abdominal cramps or pain, Bloating, Nausea, Vomiting, Fever, Blood in the stool, Mucus in the stool, Urgent need to have a bowel movement"
"Diarrhea, antibiotic-associated, also known asAntibiotic-associated diarrhea","Loose stools, More-frequent bowel movements"
"Diarrhea, traveler's, also known asTraveler's diarrhea","Abrupt onset of passage of three or more looser watery stools a day, An urgent need to defecate, Abdominal cramps, Nausea, Vomiting, Fever"
"Difficulty swallowing, also known asDysphagia","Pain while swallowing, Inability to swallow, A sensation of food getting stuck in the throat or chest or behind the breastbone (sternum), Drooling, Hoarseness, Food coming back up (regurgitation), Frequent heartburn, Food or stomach acid backing up into the throat, Weight loss, Coughing or gagging when swallowing"
DiGeorge syndrome (22q11.2 deletion syndrome),"Heart murmur and bluish skin due to poor circulation of oxygen-rich blood (cyanosis) as a result of a heart defect, Frequent infections, Certain facial features, such as an underdeveloped chin, low-set ears, wide-set eyes or a narrow groove in the upper lip, A gap in the roof of the mouth (cleft palate) or other problems with the palate, Delayed growth, Difficulty feeding, failure to gain weight or gastrointestinal problems, Breathing problems, Poor muscle tone, Delayed development, such as delays in rolling over, sitting up or other infant milestones, Delayed speech development or nasal-sounding speech, Learning delays or disabilities, Behavior problems"
Dilated cardiomyopathy,"Fatigue, Shortness of breath (dyspnea) during activity or while lying down, Reduced ability to exercise, Swelling (edema) in the legs, ankles, feet or belly (abdomen), Chest pain or discomfort, Fast, fluttering or pounding heartbeat (palpitations)"
Diphtheria,"A thick, gray membrane covering the throat and tonsils, A sore throat and hoarseness, Swollen glands (enlarged lymph nodes) in the neck, Difficulty breathing or rapid breathing, Nasal discharge, Fever and chills, Tiredness"
Dislocated shoulder,"A visibly deformed or out-of-place shoulder, Swelling or bruising, Intense pain, Inability to move the joint"
"Dissecting aneurysm, also known asAortic dissection","Sudden severe chest or upper back pain, often described as a tearing or ripping sensation, that spreads to the neck or down the back, Sudden severe stomach pain, Loss of consciousness, Shortness of breath, Symptoms similar to those of a stroke, including sudden vision problems, difficulty speaking, and weakness or loss of movement (paralysis) on one side of your body, Weak pulse in one arm or thigh compared with the other, Leg pain, Difficulty walking"
Dissociative disorders,"Memory loss (amnesia) of certain time periods, events, people and personal information, A sense of being detached from yourself and your emotions, A perception of the people and things around you as distorted and unreal, A blurred sense of identity, Significant stress or problems in your relationships, work or other important areas of your life, Inability to cope well with emotional or professional stress, Mental health problems, such as depression, anxiety, and suicidal thoughts and behaviors"
Diverticulitis,"Pain, which may be constant and persist for several days. The lower left side of the abdomen is the usual site of the pain. Sometimes, however, the right side of the abdomen is more painful, especially in people of Asian descent., Nausea and vomiting., Fever., Abdominal tenderness., Constipation or, less commonly, diarrhea."
Dizziness,"A false sense of motion or spinning (vertigo), Lightheadedness or feeling faint, Unsteadiness or a loss of balance, A feeling of floating, wooziness or heavy-headedness"
Double uterus,"Infertility, Miscarriage, Premature birth, Kidney problems"
Down syndrome,"Flattened face, Small head, Short neck, Protruding tongue, Upward slanting eye lids (palpebral fissures), Unusually shaped or small ears, Poor muscle tone, Broad, short hands with a single crease in the palm, Relatively short fingers and small hands and feet, Excessive flexibility, Tiny white spots on the colored part (iris) of the eye called Brushfield's spots, Short height"
Dressler syndrome,"Chest pain, Fever"
"Drop foot, also known asFoot drop","Nerve injury. The most common cause of foot drop is compression of a nerve in the leg that controls the muscles involved in lifting the foot. This nerve is called the peroneal nerve. A serious knee injury can lead to the nerve being compressed. It can also be injured during hip or knee replacement surgery, which may cause foot drop.
A nerve root injury — ""pinched nerve"" — in the spine also can cause foot drop. People who have diabetes are more susceptible to nerve disorders, which are associated with foot drop., Muscle or nerve disorders. Various forms of muscular dystrophy, an inherited disease that causes progressive muscle weakness, can contribute to foot drop. So can other neurologic disorders, such as polio or Charcot-Marie-Tooth disease., Brain and spinal cord disorders. Disorders that affect the spinal cord or brain — such as stroke, multiple sclerosis or amyotrophic lateral sclerosis (ALS) — may cause foot drop."
Drug addiction (substance use disorder),"Feeling that you have to use the drug regularly — daily or even several times a day, Having intense urges for the drug that block out any other thoughts, Over time, needing more of the drug to get the same effect, Taking larger amounts of the drug over a longer period of time than you intended, Making certain that you maintain a supply of the drug, Spending money on the drug, even though you can't afford it, Not meeting obligations and work responsibilities, or cutting back on social or recreational activities because of drug use, Continuing to use the drug, even though you know it's causing problems in your life or causing you physical or psychological harm, Doing things to get the drug that you normally wouldn't do, such as stealing, Driving or doing other risky activities when you're under the influence of the drug, Spending a good deal of time getting the drug, using the drug or recovering from the effects of the drug, Failing in your attempts to stop using the drug, Experiencing withdrawal symptoms when you attempt to stop taking the drug"
Drug allergy,"Skin rash, Hives, Itching, Fever, Swelling, Shortness of breath, Wheezing, Runny nose, Itchy, watery eyes"
Dry eyes,"A stinging, burning or scratchy sensation in your eyes, Stringy mucus in or around your eyes, Sensitivity to light, Eye redness, A sensation of having something in your eyes, Difficulty wearing contact lenses, Difficulty with nighttime driving, Watery eyes, which is the body's response to the irritation of dry eyes, Blurred vision or eye fatigue"
Dry macular degeneration,"Visual distortions, such as straight lines seeming bent., Reduced central vision in one or both eyes., The need for brighter light when reading or doing close-up work., Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater., Increased blurriness of printed words., Difficulty recognizing faces., A well-defined blurry spot or blind spot in the field of vision."
Dry mouth,"Dryness or a feeling of stickiness in your mouth, Saliva that seems thick and stringy, Bad breath, Difficulty chewing, speaking and swallowing, Dry or sore throat and hoarseness, Dry or grooved tongue, A changed sense of taste, Problems wearing dentures"
Dry skin,"A feeling of skin tightness, Skin that feels and looks rough, Itchiness (pruritus), Slight to severe flaking skin, which causes the ashy look that can affect dry brown and black skin, Slight to severe scaling or peeling, Cracked ""dry riverbed"" look to leg, Fine lines or cracks, Skin that ranges from reddish on white skin to grayish on brown and black skin, Deep cracks that may bleed"
Dry socket,"Severe pain within a few days after a tooth extraction, Partial or total loss of the blood clot at the tooth extraction site, which you may notice as an empty-looking (dry) socket, Visible bone in the socket, Pain that radiates from the socket to your ear, eye, temple or neck on the same side of your face as the extraction, Bad breath or a foul odor coming from your mouth, Unpleasant taste in your mouth"
"DSRCT, also known asDesmoplastic small round cell tumors","Swelling of the abdomen, Abdominal pain, Constipation, Difficulty urinating"
Ductal carcinoma in situ (DCIS),"A breast lump, Bloody nipple discharge"
Dumping syndrome,"Feeling bloated or too full after eating, Nausea, Vomiting, Abdominal cramps, Diarrhea, Flushing, Dizziness, lightheadedness, Rapid heart rate"
"Dunbar syndrome, also known asMedian arcuate ligament syndrome (MALS)","Pain in the upper middle stomach area, which may go away when leaning forward, Stomach pain after eating, exercising or changing body position, Bloating, Diarrhea, Fear of eating food due to pain, leading to significant weight loss — usually greater than 20 pounds (9.1 kilograms), Nausea and vomiting"
Dupuytren contracture,"Age. Dupuytren contracture occurs most commonly after the age of 50., Sex. Men are much more likely to develop Dupuytren than are women. In men, symptoms may be worse and progress more quickly., Ancestry. People of Northern European descent are at higher risk of the disease., Family history. Dupuytren contracture often runs in families., Occupation. Some studies show a connection between Dupuytren contracture and workers who use vibrating tools., Diabetes. People with diabetes have an increased risk of Dupuytren contracture., Tobacco and alcohol use. Smoking tobacco and drinking alcohol both increase the risk of Dupuytren contracture."
Dural arteriovenous fistulas,"Difficulty walking, falls, Seizures, Speech or language issues, Facial pain, Dementia, Parkinsonism, Coordination issues, Burning or prickling sensations, Weakness, Apathy, Failure to thrive, Symptoms related to increased pressure such as headaches, nausea and vomiting."
Dust mite allergy,"Sneezing, Runny nose, Itchy, red or watery eyes, Nasal congestion, Itchy nose, roof of mouth or throat, Postnasal drip, Cough, Facial pressure and pain, Swollen, blue-colored skin under your eyes, In a child, frequent upward rubbing of the nose"
"DVT, also known asDeep vein thrombosis (DVT)","Leg swelling, Leg pain, cramping or soreness that often starts in the calf, Change in skin color on the leg — such as red or purple, depending on the color of your skin, A feeling of warmth on the affected leg"
Dwarfism,"An average-size trunk, Short arms and legs, with particularly short upper arms and upper legs, Short fingers, often with a wide separation between the middle and ring fingers, Limited mobility at the elbows, A disproportionately large head, with a prominent forehead and a flattened bridge of the nose, Progressive development of bowed legs, Progressive development of swayed lower back, An adult height around 4 feet (122 cm)"
Dysarthria,"Slurred speech, Slow speech, Inability to speak louder than a whisper or speaking too loudly, Rapid speech that is difficult to understand, Nasal, raspy or strained voice, Uneven or abnormal speech rhythm, Uneven speech volume, Monotone speech, Difficulty moving your tongue or facial muscles"
Dyshidrosis,"Stress. Dyshidrosis appears to be more common during times of emotional or physical stress., Exposure to certain metals. These include cobalt and nickel — usually in an industrial setting., Sensitive skin. People who develop a rash after contact with certain irritants are more likely to experience dyshidrosis., Atopic dermatitis. Some people with atopic dermatitis may develop dyshidrotic eczema."
Dyslexia,"Late talking, Learning new words slowly, Problems forming words correctly, such as reversing sounds in words or confusing words that sound alike, Problems remembering or naming letters, numbers and colors, Difficulty learning nursery rhymes or playing rhyming games"
"Dysmenorrhea, also known asMenstrual cramps","Throbbing or cramping pain in your lower abdomen that can be intense, Pain that starts 1 to 3 days before your period, peaks 24 hours after the onset of your period and subsides in 2 to 3 days, Dull, continuous ache, Pain that radiates to your lower back and thighs"
"Dyspareunia, also known asPainful intercourse (dyspareunia)","Pain only at sexual entry (penetration), Pain with every penetration, including putting in a tampon, Deep pain during thrusting, Burning pain or aching pain, Throbbing pain, lasting hours after intercourse"
"Dyspepsia, also known asIndigestion","Early fullness during a meal. You haven't eaten much of your meal, but you already feel full and may not be able to finish eating., Uncomfortable fullness after a meal. The feeling of fullness lasts longer than it should., Discomfort in the upper abdomen. You feel a mild to severe pain in the area between the bottom of your breastbone and your bellybutton., Burning in the upper abdomen. You feel an uncomfortable heat or burning sensation between the bottom of your breastbone and your bellybutton., Bloating in the upper abdomen. You feel an uncomfortable sensation of tightness in your upper abdomen., Nausea. You feel as if you want to vomit."
Dysphagia,"Pain while swallowing, Inability to swallow, A sensation of food getting stuck in the throat or chest or behind the breastbone (sternum), Drooling, Hoarseness, Food coming back up (regurgitation), Frequent heartburn, Food or stomach acid backing up into the throat, Weight loss, Coughing or gagging when swallowing"
"Dysrhythmias, also known asHeart arrhythmia","A fluttering in the chest, A racing heartbeat (tachycardia), A slow heartbeat (bradycardia), Chest pain, Shortness of breath"
"Dysthymia, also known asPersistent depressive disorder","Sadness, emptiness or feeling down., Loss of interest in daily activities., Tiredness and lack of energy., Low self-esteem, self-criticism or feeling you're not capable., Trouble focusing clearly and trouble making decisions., Problems getting things done well and on time., Quickly becoming annoyed, impatient or angry., Avoidance of social activities., Feelings of guilt and worries over the past., Poor appetite or overeating., Sleep problems., Hopelessness."
Dystonia,"Begin in a single area, such as your leg, neck or arm. Focal dystonia that begins after age 21 usually starts in the neck, arm or face. It tends to remain focal or become segmental., Occur during a specific action, such as writing by hand., Worsen with stress, fatigue or anxiety., Become more noticeable over time."
"Dystonia, cervical, also known asCervical dystonia","Chin toward shoulder, Ear toward shoulder, Chin straight up, Chin straight down"
E. coli,"Diarrhea, which may range from mild and watery to severe and bloody, Stomach cramping, pain or tenderness, Nausea and vomiting, in some people"
Ear infection (middle ear),"Ear pain, especially when lying down, Tugging or pulling at an ear, Trouble sleeping, Crying more than usual, Fussiness, Trouble hearing or responding to sounds, Loss of balance, Fever of 100 F (38 C) or higher, Drainage of fluid from the ear, Headache, Loss of appetite"
"Ear infection, outer ear, also known asSwimmer's ear","Itching in your ear canal, Slight redness inside your ear, Mild discomfort that's made worse by pulling on your outer ear (pinna or auricle) or pushing on the little ""bump"" in front of your ear (tragus), Some drainage of clear, odorless fluid"
"Eardrum, ruptured, also known asRuptured eardrum (perforated eardrum)","Ear pain that may subside quickly, Mucuslike, pus-filled or bloody drainage from the ear, Hearing loss, Ringing in the ear (tinnitus), Spinning sensation (vertigo), Nausea or vomiting that can result from vertigo"
"Early puberty, also known asPrecocious puberty","Breast growth and first period in girls, Enlarged testicles and penis, facial hair and deepening voice in boys, Pubic or underarm hair, Rapid growth, Acne, Adult body odor"
Earwax blockage,"Earache, Feeling of fullness in the ear, Ringing or noises in the ear (tinnitus), Hearing loss, Dizziness, Cough, Itchiness in the ear, Odor or discharge in the ear, Pain or infection in the ear"
Eating disorders,"Skipping meals or snacks or making excuses for not eating., Having a very limited diet that hasn't been prescribed by a trained medical professional., Too much focus on food or healthy eating, especially if it means not participating in usual events, such as sports banquets, eating birthday cake or dining out., Making own meals rather than eating what the family eats., Withdrawing from usual social activities., Frequent and ongoing worry or complaints about being unhealthy or overweight and talk of losing weight., Frequent checking in the mirror for what are thought to be flaws., Repeatedly eating large amounts of foods., Using dietary supplements, laxatives or herbal products for weight loss., Exercising much more than the average person. This includes not taking rest days or days off for injury or illness or refusing to attend social events or other life events because of wanting to exercise., Calluses on the knuckles from reaching fingers into the mouth to cause vomiting., Problems with loss of tooth enamel that may be a sign of repeated vomiting., Leaving during meals or right after a meal to use the toilet., Talk of depression, disgust, shame or guilt about eating habits., Eating in secret."
"Eating disorders, anorexia, also known asAnorexia nervosa","Extreme weight loss or not making expected developmental weight gains, Thin appearance, Abnormal blood counts, Fatigue, Insomnia, Dizziness or fainting, Bluish discoloration of the fingers, Hair that thins, breaks or falls out, Soft, downy hair covering the body, Absence of menstruation, Constipation and abdominal pain, Dry or yellowish skin, Intolerance of cold, Irregular heart rhythms, Low blood pressure, Dehydration, Swelling of arms or legs, Eroded teeth and calluses on the knuckles from induced vomiting"
"Eating disorders, binge eating, also known asBinge-eating disorder","Eating unusually large amounts of food in a specific amount of time, such as over a two-hour period, Feeling that your eating behavior is out of control, Eating even when you're full or not hungry, Eating rapidly during binge episodes, Eating until you're uncomfortably full, Frequently eating alone or in secret, Feeling depressed, disgusted, ashamed, guilty or upset about your eating, Frequently dieting, possibly without weight loss"
"Eating disorders, bulimia, also known asBulimia nervosa","Being preoccupied with your body shape and weight, Living in fear of gaining weight, Repeated episodes of eating abnormally large amounts of food in one sitting, Feeling a loss of control during bingeing — like you can't stop eating or can't control what you eat, Forcing yourself to vomit or exercising too much to keep from gaining weight after bingeing, Using laxatives, diuretics or enemas after eating when they're not needed, Fasting, restricting calories or avoiding certain foods between binges, Using dietary supplements or herbal products excessively for weight loss"
Ebstein anomaly,"Shortness of breath, especially with exertion, Fatigue, Heart palpitations or abnormal heart rhythms (arrhythmias), A bluish discoloration of the lips and skin caused by low oxygen (cyanosis)"
"Ectopic heartbeat, also known asPremature ventricular contractions (PVCs)","Fluttering, Pounding or jumping, Skipped beats or missed beats, Increased awareness of the heartbeat"
Ectopic pregnancy,"Severe abdominal or pelvic pain accompanied by vaginal bleeding, Extreme lightheadedness or fainting, Shoulder pain"
Ectropion,"Watery eyes (excessive tearing). Without proper drainage, your tears may pool and constantly flow over your eyelids., Excessive dryness. Ectropion can cause your eyes to feel dry, gritty and sandy., Irritation. Stagnant tears or dryness can irritate your eyes, causing a burning sensation and redness in your eyelids and the whites of your eyes., Sensitivity to light. Stagnant tears or dry eyes can irritate the surface of the cornea, making you sensitive to light."
"Eczema, also known asAtopic dermatitis (eczema)","Dry, cracked skin, Itchiness (pruritus), Rash on swollen skin that varies in color depending on your skin color, Small, raised bumps, on brown or Black skin, Oozing and crusting, Thickened skin, Darkening of the skin around the eyes, Raw, sensitive skin from scratching"
